日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停
2023-03-01,信托概念,1,0,0,100.0,1.11,213096784474.19998,2130.97,0,0,0,0,0,1,0,0,0
2023-03-01,债转股(AMC概念),2,0,0,100.0,1.915,269045354830.27,2690.45,0,0,0,0,0,2,0,0,0
2023-03-01,健康中国,3,2,0,60.0,0.604,819711028880.75,8197.11,0,0,0,2,0,3,0,0,0
2023-03-01,储能,9,4,0,69.23076923076923,0.8007692307692308,3501186672154.7803,35011.87,0,0,1,2,2,8,0,0,0
2023-03-01,元宇宙,2,0,0,100.0,4.085,1923765314317.48,19237.65,0,0,0,0,0,0,2,0,0
2023-03-01,充电桩,1,1,0,50.0,-1.7349999999999999,347188688149.78,3471.89,0,0,1,0,1,0,0,0,0
2023-03-01,光伏建筑一体化,0,2,0,0.0,-1.0,466368049095.06995,4663.68,0,0,0,2,0,0,0,0,0
2023-03-01,光伏概念,11,7,0,61.111111111111114,0.20944444444444446,3418669362237.96,34186.69,0,0,3,3,2,9,0,1,0
2023-03-01,免税店,2,1,0,66.66666666666666,0.8266666666666667,649227196644.84,6492.27,0,0,0,1,0,2,0,0,0
2023-03-01,共同富裕示范区,1,0,0,100.0,2.84,200617088260.96,2006.17,0,0,0,0,0,1,0,0,0
2023-03-01,养老概念,1,0,0,100.0,2.29,117402119420.94,1174.02,0,0,0,0,0,1,0,0,0
2023-03-01,养鸡,0,1,0,0.0,-0.71,128788871377.04999,1287.89,0,0,0,1,0,0,0,0,0
2023-03-01,军工,5,0,0,100.0,1.092,632316264038.19,6323.16,0,0,0,0,0,5,0,0,0
2023-03-01,军民融合,2,0,0,100.0,2.235,272082668173.15,2720.83,0,0,0,0,0,2,0,0,0
2023-03-01,农机,1,0,0,100.0,0.24,108820163557.87001,1088.20,0,0,0,0,0,1,0,0,0
2023-03-01,农村电商,0,1,0,0.0,-0.05,188541502542.36002,1885.42,0,0,0,0,1,0,0,0,0
2023-03-01,冰雪产业,1,0,0,100.0,0.47,205446817090.62,2054.47,0,0,0,0,0,1,0,0,0
2023-03-01,冷链物流,1,0,0,100.0,0.33,264879400403.03,2648.79,0,0,0,0,0,1,0,0,0
2023-03-01,净水概念,0,1,0,0.0,-0.53,247217482561.81003,2472.17,0,0,0,1,0,0,0,0,0
2023-03-01,分拆上市意愿,7,0,0,100.0,1.8942857142857144,1887313032156.55,18873.13,0,0,0,0,0,6,1,0,0
2023-03-01,创投,1,1,0,50.0,-0.25,725040584540.35,7250.41,0,0,0,1,0,1,0,0,0
2023-03-01,创新药,2,1,0,66.66666666666666,0.5333333333333333,670801406912.72,6708.01,0,0,0,1,0,2,0,0,0
2023-03-01,动力电池回收,3,1,0,75.0,0.7325,1463730431484.1199,14637.30,0,0,0,1,0,3,0,0,0
2023-03-01,化肥,2,0,0,100.0,0.28500000000000003,270077249863.82,2700.77,0,0,0,0,0,2,0,0,0
2023-03-01,北交所概念,2,0,0,100.0,0.43,411786059044.74,4117.86,0,0,0,0,0,2,0,0,0
2023-03-01,区块链,3,0,0,100.0,4.03,730860553876.3201,7308.61,0,0,0,0,0,2,0,0,1
2023-03-01,医疗器械概念,3,2,0,60.0,0.026000000000000002,1031614381242.29,10316.14,0,0,0,2,0,3,0,0,0
2023-03-01,医美概念,2,1,0,66.66666666666666,0.11666666666666665,453121283688.12,4531.21,0,0,0,1,0,2,0,0,0
2023-03-01,华为概念,5,1,0,83.33333333333334,1.5599999999999998,1112076745672.24,11120.77,0,0,0,1,0,3,2,0,0
2023-03-01,华为汽车,3,0,0,100.0,1.1266666666666667,433811573080.70996,4338.12,0,0,0,0,0,3,0,0,0
2023-03-01,华为海思概念股,1,0,0,100.0,0.17,123543560421.90001,1235.44,0,0,0,0,0,1,0,0,0
2023-03-01,参股保险,2,0,0,100.0,1.27,1132517185948.56,11325.17,0,0,0,0,0,2,0,0,0
2023-03-01,参股券商,8,0,0,100.0,2.07,2947854259930.42,29478.54,0,0,0,0,0,6,2,0,0
2023-03-01,参股新三板,3,0,0,100.0,1.66,400927963439.66,4009.28,0,0,0,0,0,3,0,0,0
2023-03-01,参股银行,8,1,0,88.88888888888889,1.438888888888889,2844094879059.95,28440.95,0,0,0,1,0,6,2,0,0
2023-03-01,口罩,4,0,0,100.0,2.0324999999999998,1200381650806.24,12003.82,0,0,0,0,0,4,0,0,0
2023-03-01,可燃冰,1,0,0,100.0,1.93,569507936318.5,5695.08,0,0,0,0,0,1,0,0,0
2023-03-01,可降解塑料,1,1,0,50.0,-0.305,448786097477.37994,4487.86,0,0,0,1,0,1,0,0,0
2023-03-01,同花顺漂亮100,66,16,0,80.48780487804879,0.9875609756097562,22365215911841.41,223652.16,0,0,2,12,4,55,8,1,0
2023-03-01,啤酒概念,1,0,0,100.0,0.74,153203342317.0,1532.03,0,0,0,0,0,1,0,0,0
2023-03-01,固态电池,1,2,0,33.33333333333333,-0.6066666666666667,390666094021.35,3906.66,0,0,0,2,0,1,0,0,0
2023-03-01,国产操作系统,1,0,0,100.0,2.08,155865462638.28,1558.65,0,0,0,0,0,1,0,0,0
2023-03-01,国产航母,2,0,0,100.0,1.1,231642987867.5,2316.43,0,0,0,0,0,2,0,0,0
2023-03-01,国产软件,4,0,0,100.0,3.035,512951281160.48,5129.51,0,0,0,0,0,1,3,0,0
2023-03-01,国企改革,69,4,2,92.0,1.62,23268855574949.53,232688.56,0,0,0,4,4,56,7,3,1
2023-03-01,国家大基金持股,2,0,0,100.0,0.5,458826302992.41003,4588.26,0,0,0,0,0,2,0,0,0
2023-03-01,国家大基金持股 ,2,0,0,100.0,0.5,458826302992.41003,4588.26,0,0,0,0,0,2,0,0,0
2023-03-01,国资云,2,0,0,100.0,9.295,765854105275.62,7658.54,0,0,0,0,0,0,0,1,1
2023-03-01,在线教育,1,0,0,100.0,3.19,115875446530.04001,1158.75,0,0,0,0,0,0,1,0,0
2023-03-01,地下管网,1,0,0,100.0,2.31,241122988853.0,2411.23,0,0,0,0,0,1,0,0,0
2023-03-01,基因测序,1,0,0,100.0,1.38,248712477379.74,2487.12,0,0,0,0,0,1,0,0,0
2023-03-01,大数据,5,0,0,100.0,5.970000000000001,1439264689812.15,14392.65,0,0,0,0,0,0,3,1,1
2023-03-01,大飞机,3,0,0,100.0,0.52,358623427681.04,3586.23,0,0,0,0,0,3,0,0,0
2023-03-01,天然气,3,0,0,100.0,1.3166666666666667,2303586269899.3,23035.86,0,0,0,0,0,3,0,0,0
2023-03-01,央企国企改革,44,2,1,93.61702127659575,1.971063829787234,13140301417095.66,131403.01,0,0,0,2,3,32,6,3,1
2023-03-01,宁德时代概念,6,0,0,100.0,1.7850000000000001,1870990648708.18,18709.91,0,0,0,0,0,6,0,0,0
2023-03-01,安防,1,1,0,50.0,1.845,521440745517.08,5214.41,0,0,0,0,1,0,1,0,0
2023-03-01,宠物经济,0,1,0,0.0,-0.68,104802651338.49,1048.03,0,0,0,1,0,0,0,0,0
2023-03-01,家庭医生,2,0,0,100.0,3.45,1029704714615.9401,10297.05,0,0,0,0,0,0,2,0,0
2023-03-01,家用电器,2,1,0,66.66666666666666,2.04,834472809488.55,8344.73,0,0,0,1,0,1,1,0,0
2023-03-01,富士康概念,1,0,0,100.0,3.75,197801545214.28003,1978.02,0,0,0,0,0,0,1,0,0
2023-03-01,富媒体,1,0,0,100.0,2.08,155865462638.28,1558.65,0,0,0,0,0,1,0,0,0
2023-03-01,小米概念,2,1,0,66.66666666666666,0.6966666666666667,412650173710.14,4126.50,0,0,0,0,1,2,0,0,0
2023-03-01,小金属概念,5,1,0,83.33333333333334,2.8533333333333335,982544981416.99,9825.45,0,0,0,1,0,3,1,1,0
2023-03-01,工业4.0,4,1,0,80.0,2.316,1363243712471.92,13632.44,0,0,0,1,0,2,2,0,0
2023-03-01,工业互联网,6,1,0,85.71428571428571,2.6028571428571428,1448532389749.04,14485.32,0,0,0,1,0,2,4,0,0
2023-03-01,工业大麻,1,0,0,100.0,1.02,103283659316.51999,1032.84,0,0,0,0,0,1,0,0,0
2023-03-01,工业母机,1,0,0,100.0,1.38,197551713524.01,1975.52,0,0,0,0,0,1,0,0,0
2023-03-01,年报预增,16,9,0,64.0,0.07920000000000002,6856358846984.53,68563.59,0,0,3,5,1,15,1,0,0
2023-03-01,幽门螺杆菌概念,1,0,0,100.0,0.15,115061918827.95,1150.62,0,0,0,0,0,1,0,0,0
2023-03-01,抗原检测,1,0,0,100.0,0.15,115061918827.95,1150.62,0,0,0,0,0,1,0,0,0
2023-03-01,抽水蓄能,4,0,0,100.0,1.9725,623480107204.2,6234.80,0,0,0,0,1,2,0,1,0
2023-03-01,换电概念,2,0,0,100.0,0.71,373349362120.19006,3733.49,0,0,0,0,1,1,0,0,0
2023-03-01,数字孪生,2,0,0,100.0,2.75,356998435383.04004,3569.98,0,0,0,0,0,1,1,0,0
2023-03-01,数字经济,1,0,0,100.0,2.08,155865462638.28,1558.65,0,0,0,0,0,1,0,0,0
2023-03-01,数据中心,4,0,0,100.0,3.6125000000000003,1015564316965.27,10155.64,0,0,0,0,1,1,1,1,0
2023-03-01,数据安全,1,0,0,100.0,10.04,184783774536.97,1847.84,0,0,0,0,0,0,0,0,1
2023-03-01,新冠检测,2,0,0,100.0,0.47000000000000003,498787495615.01,4987.87,0,0,0,0,0,2,0,0,0
2023-03-01,新型烟草,0,1,0,0.0,-0.04,148662581186.99,1486.63,0,0,0,0,1,0,0,0,0
2023-03-01,新材料概念,3,3,0,50.0,0.015000000000000032,957657555390.92,9576.58,0,0,0,3,0,3,0,0,0
2023-03-01,新疆振兴,1,0,0,100.0,0.33,154228122217.59998,1542.28,0,0,0,0,0,1,0,0,0
2023-03-01,新股与次新股,2,1,0,66.66666666666666,0.9166666666666666,1028560221383.06,10285.60,0,0,0,1,0,1,1,0,0
2023-03-01,新能源汽车,13,4,0,76.47058823529412,0.9805882352941178,4270026792311.6997,42700.27,0,0,1,2,1,11,2,0,0
2023-03-01,新零售,5,0,0,100.0,1.666,1523971975256.11,15239.72,0,0,0,0,0,5,0,0,0
2023-03-01,方舱医院,2,0,0,100.0,1.55,624848565640.06,6248.49,0,0,0,0,0,2,0,0,0
2023-03-01,无人机,3,0,0,100.0,0.38333333333333336,501569435846.17,5015.69,0,0,0,0,0,3,0,0,0
2023-03-01,无人驾驶,4,0,0,100.0,1.68,1385627289289.38,13856.27,0,0,0,0,0,4,0,0,0
2023-03-01,无线充电,0,1,0,0.0,-0.53,247217482561.81003,2472.17,0,0,0,1,0,0,0,0,0
2023-03-01,无线耳机,3,2,0,60.0,1.3679999999999999,732784824430.2,7327.85,0,0,0,1,1,1,2,0,0
2023-03-01,智慧城市,4,0,0,100.0,3.1875,842320618712.6901,8423.21,0,0,0,0,0,1,3,0,0
2023-03-01,智能交通,1,0,0,100.0,3.73,372778164330.09,3727.78,0,0,0,0,0,0,1,0,0
