,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
185,186,无人机,BK0704,1731.17,4.69,0.27,2302599728000,3.31,55,58,特发信息,9.81
186,187,预亏预减,BK0570,1880.07,5.07,0.27,12794451456000,1.7,594,612,鸿博股份,10.03
187,188,GDR,BK0868,886.95,2.39,0.27,1257127872000,0.54,6,5,明阳智能,2.22
188,189,深股通,BK0804,1002.34,2.67,0.27,30698727168000,1.94,639,656,兆威机电,10.0
189,190,蓝宝石,BK0674,3017.04,7.7,0.26,706720544000,1.79,9,11,蓝思科技,2.36
190,191,深成500,BK0568,1161.83,2.96,0.26,23181281024000,1.48,234,252,巨人网络,9.98
191,192,进口博览,BK0850,928.37,2.3,0.25,312209360000,0.86,5,11,中远海科,5.22
192,193,DRG/DIP,BK1054,1033.01,2.53,0.25,134061192000,5.36,7,5,东软集团,5.22
193,194,调味品概念,BK1026,964.31,2.29,0.24,935266112000,0.94,18,12,莲花健康,6.49
194,195,京津冀,BK0684,1480.28,3.44,0.23,576771008000,1.03,22,25,常山北明,9.96
195,196,互联医疗,BK0837,916.78,2.09,0.23,4665411328000,2.48,49,53,四川长虹,9.97
196,197,上海自贸,BK0643,2685.14,6.06,0.23,1026239824000,0.89,12,18,飞乐音响,5.79
197,198,股权转让,BK0803,701.45,1.57,0.22,99579780000,1.13,10,8,ST万林,2.94
198,199,AB股,BK0498,9854.5,21.97,0.22,1509377520000,1.0,33,39,深康佳Ａ,5.36
199,200,刀片电池,BK0951,2604.05,5.79,0.22,946587136000,1.37,8,4,紫江企业,1.41
200,201,万达概念,BK0831,954.0,2.11,0.22,632716608000,0.73,9,7,*ST新文,6.9
201,202,深证100R,BK0743,1255.14,2.74,0.22,13776933120000,1.03,48,51,德赛西威,9.49
202,203,被动元件,BK0976,1215.68,2.6,0.21,423450544000,2.09,13,12,铂科新材,6.45
