,股票代码,股票名称,板块名称
181,601216,君正集团,化学原料
182,600935,华塑股份,化学原料
183,603213,镇洋发展,化学原料
184,000545,金浦钛业,化学原料
185,600722,金牛化工,化学原料
186,600844,丹化科技,化学原料
187,000683,远兴能源,化学原料
188,002136,安纳达,化学原料
189,000510,新金路,化学原料
190,600623,华谊集团,化学原料
191,600319,亚星化学,化学原料
192,000691,亚太实业,化学原料
193,000830,鲁西化工,化学原料
194,002274,华昌化工,化学原料
195,002748,世龙实业,化学原料
196,603299,苏盐井神,化学原料
197,600714,金瑞矿业,化学原料
198,002002,鸿达兴业,化学原料
199,600075,新疆天业,化学原料
200,600746,江苏索普,化学原料
201,002109,兴化股份,化学原料
202,601568,北元集团,化学原料
203,600989,宝丰能源,化学原料
204,600929,雪天盐业,化学原料
205,002469,三维化学,化学原料
206,600955,维远股份,化学原料
207,002092,中泰化学,化学原料
208,002601,龙佰集团,化学原料
209,430489,佳先股份,化学原料
210,601678,滨化股份,化学原料
211,000707,双环科技,化学原料
212,600328,中盐化工,化学原料
213,000822,山东海化,化学原料
214,002053,云南能投,化学原料
215,000635,英力特,化学原料
216,600610,中毅达,化学原料
217,600277,亿利洁能,化学原料
218,600255,鑫科材料,金属新材料
219,000633,合金投资,金属新材料
220,000969,安泰科技,金属新材料
221,300963,中洲特材,金属新材料
222,688102,斯瑞新材,金属新材料
223,300127,银河磁体,金属新材料
224,603045,福达合金,金属新材料
225,603978,深圳新星,金属新材料
226,300748,金力永磁,金属新材料
227,600366,宁波韵升,金属新材料
228,300930,屹通新材,金属新材料
229,000970,中科三环,金属新材料
230,688786,悦安新材,金属新材料
231,300224,正海磁材,金属新材料
232,688190,云路股份,金属新材料
233,688077,大地熊,金属新材料
234,300855,图南股份,金属新材料
235,831152,昆工科技,金属新材料
236,601137,博威合金,金属新材料
237,300811,铂科新材,金属新材料
238,000795,英洛华,金属新材料
239,002057,中钢天源,金属新材料
240,300835,龙磁科技,金属新材料
241,002056,横店东磁,金属新材料
242,000761,本钢板材,钢铁
243,601003,柳钢股份,钢铁
244,301160,翔楼新材,钢铁
245,001203,大中矿业,钢铁
246,600231,凌钢股份,钢铁
247,600282,南钢股份,钢铁
248,600399,抚顺特钢,钢铁
249,600569,安阳钢铁,钢铁
250,600782,新钢股份,钢铁
251,601686,友发集团,钢铁
252,605158,华达新材,钢铁
253,000655,金岭矿业,钢铁
254,600295,鄂尔多斯,钢铁
255,000717,中南股份,钢铁
256,601005,重庆钢铁,钢铁
257,600307,酒钢宏兴,钢铁
258,600507,方大特钢,钢铁
259,603878,武进不锈,钢铁
260,000708,中信特钢,钢铁
261,601969,海南矿业,钢铁
262,002110,三钢闽光,钢铁
263,002318,久立特材,钢铁
264,000932,华菱钢铁,钢铁
265,000709,河钢股份,钢铁
266,300881,盛德鑫泰,钢铁
267,600126,杭钢股份,钢铁
268,002443,金洲管道,钢铁
269,000629,钒钛股份,钢铁
270,000825,太钢不锈,钢铁
271,600022,山东钢铁,钢铁
272,600117,西宁特钢,钢铁
273,600808,马钢股份,钢铁
274,600382,ST广珠,钢铁
275,000898,鞍钢股份,钢铁
276,000959,首钢股份,钢铁
277,000778,新兴铸管,钢铁
278,600516,方大炭素,钢铁
279,002478,常宝股份,钢铁
280,002075,沙钢股份,钢铁
281,600010,包钢股份,钢铁
282,600019,宝钢股份,钢铁
283,000923,河钢资源,钢铁
284,600581,八一钢铁,钢铁
285,603995,甬金股份,钢铁
286,688186,广大特材,钢铁
287,300334,津膜科技,化工合成材料
288,300538,同益股份,化工合成材料
289,603650,彤程新材,化工合成材料
290,002427,*ST尤夫,化工合成材料
291,688087,英科再生,化工合成材料
292,301092,争光股份,化工合成材料
293,000920,沃顿科技,化工合成材料
294,688386,泛亚微透,化工合成材料
295,002442,龙星化工,化工合成材料
296,300995,奇德新材,化工合成材料
297,002768,国恩股份,化工合成材料
298,601208,东材科技,化工合成材料
299,300920,润阳科技,化工合成材料
300,688718,唯赛勃,化工合成材料
301,301237,和顺科技,化工合成材料
302,832089,禾昌聚合,化工合成材料
303,002886,沃特股份,化工合成材料
304,300980,祥源新材,化工合成材料
305,301300,远翔新材,化工合成材料
306,688323,瑞华泰,化工合成材料
307,301019,宁波色母,化工合成材料
308,605589,圣泉集团,化工合成材料
309,300243,瑞丰高材,化工合成材料
310,300180,华峰超纤,化工合成材料
311,300321,同大股份,化工合成材料
312,000859,国风新材,化工合成材料
313,688219,会通股份,化工合成材料
314,600589,ST榕泰,化工合成材料
315,300717,华信新材,化工合成材料
316,600143,金发科技,化工合成材料
317,603879,永悦科技,化工合成材料
318,300587,天铁股份,化工合成材料
319,002753,永东股份,化工合成材料
320,605183,确成股份,化工合成材料
321,300487,蓝晓科技,化工合成材料
322,605488,福莱新材,化工合成材料
323,300305,裕兴股份,化工合成材料
324,300731,科创新源,化工合成材料
325,300230,永利股份,化工合成材料
326,300221,银禧科技,化工合成材料
327,688722,同益中,化工合成材料
328,836077,吉林碳谷,化工合成材料
329,300478,杭州高新,化工合成材料
330,002381,双箭股份,化工合成材料
331,300806,斯迪克,化工合成材料
332,000973,佛塑科技,化工合成材料
333,001207,联科科技,化工合成材料
334,000301,东方盛虹,化工合成材料
335,301131,聚赛龙,化工合成材料
336,301196,唯科科技,化工合成材料
337,688295,中复神鹰,化工合成材料
338,300876,蒙泰高新,化工合成材料
339,300320,海达股份,化工合成材料
340,000420,吉林化纤,化工合成材料
341,605166,聚合顺,化工合成材料
342,002632,道明光学,化工合成材料
343,603332,苏州龙杰,化工合成材料
344,600135,乐凯胶片,化工合成材料
345,603991,至正股份,化工合成材料
346,300834,星辉环材,化工合成材料
347,301003,江苏博云,化工合成材料
348,301057,汇隆新材,化工合成材料
349,002341,新纶新材,化工合成材料
350,300539,横河精密,化工合成材料
351,688203,海正生材,化工合成材料
352,688585,上纬新材,化工合成材料
353,002224,三力士,化工合成材料
354,688669,聚石化学,化工合成材料
355,002395,双象股份,化工合成材料
356,300586,美联新材,化工合成材料
357,002064,华峰化学,化工合成材料
358,831834,三维股份,化工合成材料
359,002108,沧州明珠,化工合成材料
360,605008,长鸿高科,化工合成材料
361,002998,优彩资源,化工合成材料
362,300767,震安科技,化工合成材料
363,603330,天洋新材,化工合成材料
364,000782,美达股份,化工合成材料
365,002263,大东南,化工合成材料
366,600810,神马股份,化工合成材料
367,603033,三维股份,化工合成材料
368,603928,兴业股份,化工合成材料
369,002838,道恩股份,化工合成材料
370,000703,恒逸石化,化工合成材料
371,002522,浙江众成,化工合成材料
372,600889,南京化纤,化工合成材料
373,002825,纳尔股份,化工合成材料
374,300644,南京聚隆,化工合成材料
375,000677,恒天海龙,化工合成材料
376,002361,神剑股份,化工合成材料
377,002206,海利得,化工合成材料
378,000949,新乡化纤,化工合成材料
379,600063,皖维高新,化工合成材料
380,300218,安利股份,化工合成材料
381,000936,华西股份,化工合成材料
382,300716,国立科技,化工合成材料
383,002585,双星新材,化工合成材料
384,001333,光华股份,化工合成材料
385,603225,新凤鸣,化工合成材料
386,300121,阳谷华泰,化工合成材料
387,002254,泰和新材,化工合成材料
388,832225,利通科技,化工合成材料
389,603580,艾艾精工,化工合成材料
390,002068,黑猫股份,化工合成材料
391,001255,博菲电气,化工合成材料
392,601233,桐昆股份,化工合成材料
393,603256,宏和科技,建筑材料
394,001212,中旗新材,建筑材料
395,605122,四方新材,建筑材料
396,300234,开尔新材,建筑材料
397,301010,晶雪节能,建筑材料
398,300599,雄塑科技,建筑材料
399,300374,中铁装配,建筑材料
400,002652,扬子新材,建筑材料
401,001296,长江材料,建筑材料
402,000023,深天地A,建筑材料
403,603038,华立股份,建筑材料
404,605318,法狮龙,建筑材料
405,002596,海南瑞泽,建筑材料
406,002785,万里石,建筑材料
407,605006,山东玻纤,建筑材料
408,603856,东宏股份,建筑材料
409,300198,纳川股份,建筑材料
410,002398,垒知集团,建筑材料
411,002225,濮耐股份,建筑材料
412,600802,福建水泥,建筑材料
413,002457,青龙管业,建筑材料
414,000546,金圆股份,建筑材料
415,600668,尖峰集团,建筑材料
416,002718,友邦吊顶,建筑材料
417,002372,伟星新材,建筑材料
418,002233,塔牌集团,建筑材料
419,600678,四川金顶,建筑材料
420,600724,宁波富达,建筑材料
421,300715,凯伦股份,建筑材料
422,601992,金隅集团,建筑材料
423,603601,再升科技,建筑材料
424,002671,龙泉股份,建筑材料
425,000672,上峰水泥,建筑材料
426,000401,冀东水泥,建筑材料
427,600326,西藏天路,建筑材料
428,002791,坚朗五金,建筑材料
429,833580,科创新材,建筑材料
430,002392,北京利尔,建筑材料
431,300196,长海股份,建筑材料
432,002247,聚力文化,建筑材料
433,002694,顾地科技,建筑材料
434,000055,方大集团,建筑材料
435,000012,南玻A,建筑材料
436,600425,青松建化,建筑材料
437,002333,罗普斯金,建筑材料
438,000935,四川双马,建筑材料
439,002641,公元股份,建筑材料
440,603616,韩建河山,建筑材料
441,600293,三峡新材,建筑材料
442,000789,万年青,建筑材料
443,002088,鲁阳节能,建筑材料
444,600720,祁连山,建筑材料
445,002613,北玻股份,建筑材料
446,002302,西部建设,建筑材料
447,002201,正威新材,建筑材料
448,000786,北新建材,建筑材料
449,002271,东方雨虹,建筑材料
450,600819,耀皮玻璃,建筑材料
451,600801,华新水泥,建筑材料
452,600176,中国巨石,建筑材料
453,003037,三和管桩,建筑材料
454,600586,金晶科技,建筑材料
455,600585,海螺水泥,建筑材料
456,002205,国统股份,建筑材料
457,000877,天山股份,建筑材料
458,600449,宁夏建材,建筑材料
459,000619,海螺新材,建筑材料
460,603737,三棵树,建筑材料
461,300093,金刚光伏,建筑材料
462,300737,科顺股份,建筑材料
463,002080,中材科技,建筑材料
464,601636,旗滨集团,建筑材料
465,603378,亚士创能,建筑材料
466,002066,瑞泰科技,建筑材料
467,002043,兔宝宝,建筑材料
468,688119,中钢洛耐,建筑材料
469,301036,双乐股份,化学制品
470,300437,清水源,化学制品
471,301212,联盛化学,化学制品
472,300637,扬帆新材,化学制品
473,300200,高盟新材,化学制品
474,300522,世名科技,化学制品
475,300758,七彩化学,化学制品
476,830974,凯大催化,化学制品
477,603255,鼎际得,化学制品
478,301209,联合化学,化学制品
479,300665,飞鹿股份,化学制品
480,300530,达志科技,化学制品
481,605399,晨光新材,化学制品
482,688398,赛特新材,化学制品
483,300405,科隆股份,化学制品
484,300225,金力泰,化学制品
485,603683,晶华新材,化学制品
486,300796,贝斯美,化学制品
487,688350,富淼科技,化学制品
488,002430,杭氧股份,化学制品
489,300721,怡达股份,化学制品
490,002809,红墙股份,化学制品
491,301037,保立佳,化学制品
492,300535,达威股份,化学制品
493,300801,泰和科技,化学制品
494,002971,和远气体,化学制品
495,301156,美农生物,化学制品
496,300858,科拓生物,化学制品
497,301076,新瀚新材,化学制品
498,600078,ST澄星,化学制品
499,603155,新亚强,化学制品
500,002591,恒大高新,化学制品
501,300641,正丹股份,化学制品
502,688133,泰坦科技,化学制品
503,300596,利安隆,化学制品
504,834033,康普化学,化学制品
505,603790,雅运股份,化学制品
506,300610,晨化股份,化学制品
507,300727,润禾材料,化学制品
508,688089,嘉必优,化学制品
509,603722,阿科力,化学制品
510,002648,卫星化学,化学制品
511,300067,安诺其,化学制品
512,301100,风光股份,化学制品
513,002215,诺普信,化学制品
514,300848,美瑞新材,化学制品
515,000408,藏格矿业,化学制品
516,603079,圣达生物,化学制品
517,605366,宏柏新材,化学制品
518,600727,鲁北化工,化学制品
519,603281,江瀚新材,化学制品
520,603725,天安新材,化学制品
521,688659,元琛科技,化学制品
522,002802,洪汇新材,化学制品
523,300169,天晟新材,化学制品
524,603977,国泰集团,化学制品
525,000565,渝三峡A,化学制品
526,300107,建新股份,化学制品
527,300829,金丹科技,化学制品
528,688571,杭华股份,化学制品
529,301206,三元生物,化学制品
530,002545,东方铁塔,化学制品
531,002226,江南化工,化学制品
532,002319,乐通股份,化学制品
533,300798,锦鸡股份,化学制品
534,300261,雅本化学,化学制品
535,002407,多氟多,化学制品
536,603020,爱普股份,化学制品
537,300821,东岳硅材,化学制品
538,688179,阿拉丁,化学制品
539,688357,建龙微纳,化学制品
540,300910,瑞丰新材,化学制品
541,002453,华软科技,化学制品
542,301190,善水科技,化学制品
543,600227,圣济堂,化学制品
544,603599,广信股份,化学制品
545,301286,侨源股份,化学制品
546,301077,星华新材,化学制品
547,002666,德联集团,化学制品
548,301216,万凯新材,化学制品
549,603599,广信股份,化学制品
550,301035,润丰股份,化学制品
551,301149,隆华新材,化学制品
552,688639,华恒生物,化学制品
553,301077,星华新材,化学制品
554,300072,海新能科,化学制品
555,603739,蔚蓝生物,化学制品
556,300910,瑞丰新材,化学制品
557,002165,红宝丽,化学制品
558,603916,苏博特,化学制品
559,300214,日科化学,化学制品
560,300041,回天新材,化学制品
561,600160,巨化股份,化学制品
562,603051,鹿山新材,化学制品
563,603041,美思德,化学制品
564,603980,吉华集团,化学制品
565,002783,凯龙股份,化学制品
566,300741,华宝股份,化学制品
567,002496,辉丰股份,化学制品
568,002915,中欣氟材,化学制品
569,603110,东方材料,化学制品
570,603639,海利尔,化学制品
