股票代码,板块名称
002642,36
000948,35
300047,35
300166,35
000066,35
002065,35
300730,33
002298,33
002777,33
002579,32
300188,32
300520,32
300212,32
300287,32
002587,32
002717,31
002230,31
002232,31
300002,30
002197,30
301236,30
002340,30
000158,30
600100,30
000009,29
300353,29
002339,29
000997,29
000988,29
000969,28
300339,28
300678,28
300608,28
300248,28
600410,28
603019,28
300229,28
002362,28
000027,28
002236,28
300663,28
002241,27
601360,27
600271,27
601727,27
301248,27
000032,27
002421,27
000727,27
300007,27
603636,26
000851,26
000810,26
002261,26
600522,26
000725,26
600475,26
300075,26
600839,26
000070,26
000063,26
002024,26
002657,25
300352,25
600196,25
002131,25
002415,25
300036,25
002405,25
002401,25
002373,25
300433,25
002152,25
002008,25
300376,25
002354,25
002654,25
603496,25
002268,25
600633,25
300088,24
002635,24
300222,24
001339,24
300079,24
002396,24
600884,24
300168,24
603000,24
002183,24
300290,24
002212,24
300458,23
600736,23
300807,23
002279,23
300459,23
000100,23
600986,23
600487,23
002512,23
002063,23
000925,23
002682,23
002368,23
002602,23
002079,23
002803,23
002439,23
002217,23
002056,23
300024,23
002036,23
002467,22
300365,22
300379,22
300479,22
600797,22
300337,22
000676,22
300456,22
300250,22
300410,22
600089,22
002009,22
300020,22
300199,22
300324,22
600728,22
300115,22
300098,22
600406,22
300096,22
300634,22
600588,22
600718,22
300645,22
002151,22
002429,22
600208,22
002038,21
002681,21
600198,21
300603,21
000607,21
301091,21
300044,21
002419,21
603888,21
688022,21
300157,21
002280,21
300531,21
002528,21
601669,21
002383,21
002090,21
300364,21
600482,20
002045,20
000977,20
300712,20
000793,20
002184,20
600690,20
002599,20
601607,20
002465,20
000901,20
600869,20
600704,20
300418,20
001696,20
002385,20
000829,20
002140,20
002474,20
002253,20
003005,20
603825,20
300077,20
300182,20
000021,20
300184,20
300136,20
603212,20
300058,20
000555,20
300078,20
000400,20
300252,20
002030,19
300085,19
600460,19
600804,19
000826,19
300263,19
601390,19
002957,19
000938,19
600536,19
300113,19
300249,19
002975,19
002334,19
002558,19
300588,19
600811,19
300541,19
300579,19
603660,19
600880,19
002004,19
600332,19
002369,19
600637,19
002594,19
600640,19
603160,19
300003,19
600705,19
002431,19
002456,19
300496,19
002185,19
300052,19
603169,19
600571,19
300296,19
002276,19
301135,19
600206,19
600584,19
600105,19
000016,19
002266,19
000665,19
002489,19
300232,19
300490,19
002407,19
002117,19
300195,19
600580,18
000521,18
002010,18
300207,18
000513,18
002768,18
600875,18
002371,18
002758,18
600572,18
000837,18
002341,18
000881,18
301171,18
600710,18
002156,18
300043,18
300045,18
002178,18
002179,18
601138,18
300735,18
002137,18
002906,18
301136,18
601216,18
601222,18
603466,18
300674,18
601618,18
002885,18
301178,18
600764,18
300083,18
600330,18
301218,18
002292,18
002317,18
000909,18
600415,18
300328,18
600598,18
600420,18
600590,18
300133,18
002929,18
601899,18
002057,18
600166,18
300366,18
000651,18
002049,18
600501,18
600104,18
603005,18
300297,18
600118,18
000551,18
300237,18
300307,18
300227,18
300223,18
603799,18
300213,18
002672,17
300830,17
002987,17
300887,17
300131,17
002902,17
301153,17
002432,17
300500,17
600602,17
002223,17
000652,17
600476,17
300322,17
002544,17
002542,17
002080,17
300438,17
002537,17
002355,17
000990,17
300073,17
688158,17
002591,17
002449,17
002600,17
002273,17
600850,17
002699,17
300081,17
603927,17
600170,17
600171,17
603189,17
002869,17
300101,17
300632,17
002583,17
002582,17
001896,17
601399,17
300612,17
601186,17
600050,17
300542,17
300177,17
000050,17
002139,17
002460,17
600831,17
002400,17
300183,17
688396,17
600699,17
002402,17
000821,17
300482,17
000547,17
301339,17
002413,17
002475,17
002514,17
301316,17
002761,17
002380,17
600037,17
002530,17
300303,17
300170,17
300300,17
002519,17
003029,17
601766,17
002669,16
601106,16
000039,16
002990,16
000617,16
002097,16
300031,16
300369,16
300053,16
600895,16
600733,16
601179,16
000581,16
002925,16
300713,16
002123,16
002916,16
600378,16
002614,16
600120,16
000040,16
002126,16
600745,16
301013,16
002180,16
601012,16
000049,16
000625,16
300279,16
301165,16
002101,16
000061,16
002444,16
002878,16
002786,16
300563,16
300450,16
000875,16
300560,16
002792,16
000863,16
002375,16
603068,16
301311,16
300245,16
300244,16
300041,16
000735,16
300465,16
605589,16
301330,16
603986,16
300472,16
600335,16
000756,16
600008,16
002011,16
002422,16
002425,16
300499,16
002060,16
002757,16
600549,16
300567,16
002055,16
002310,16
300409,16
002585,16
002845,16
000564,16
300271,16
002564,16
002315,16
000333,16
603118,16
300602,16
600500,16
300598,16
300134,16
002335,16
301268,16
300378,16
600056,16
300650,16
002547,16
002822,16
000681,16
002093,15
300872,15
600845,15
600990,15
002938,15
600968,15
002044,15
300014,15
002085,15
002083,15
002050,15
300030,15
600981,15
002660,15
300802,15
300219,15
002364,15
300161,15
300545,15
002404,15
300187,15
002409,15
002420,15
300205,15
002426,15
300513,15
300510,15
601800,15
601801,15
601868,15
300793,15
002520,15
002534,15
603766,15
603956,15
002553,15
002559,15
002560,15
300413,15
300383,15
603803,15
002624,15
601989,15
002643,15
603626,15
300578,15
601608,15
300130,15
300781,15
002169,15
002171,15
002182,15
002908,15
300703,15
601200,15
688049,15
002226,15
002229,15
300067,15
300068,15
002243,15
300676,15
300675,15
688039,15
601231,15
300671,15
603501,15
300074,15
688035,15
002277,15
603528,15
002291,15
300624,15
300609,15
002316,15
300486,15
300691,15
688262,15
600446,15
600312,15
000818,15
000055,15
600502,15
688609,15
600565,15
000795,15
600219,15
000062,15
000503,15
600525,15
301179,15
600062,15
000155,15
600018,15
600405,15
000998,15
000413,15
600057,15
000630,15
600256,15
600596,15
600479,15
000600,15
688561,15
600741,15
600141,15
600158,15
301087,15
000883,15
000034,15
600606,15
300270,14
002554,14
