日期,板块名称,冰点,沸点,距上次沸点天数,距上次冰点天数
2023-03-01,油品石化贸易,False,False,0,0
2023-03-01,油服工程,False,False,0,0
2023-03-01,油气开采,False,False,0,0
2023-03-01,海洋捕捞,False,False,0,0
2023-03-01,涂料油墨,False,False,0,0
2023-03-01,消费电子零部件及组装,False,False,0,0
2023-03-01,涤纶,False,False,0,0
2023-03-01,港口,False,False,0,0
2023-03-01,游戏,False,True,-1,0
2023-03-01,激光设备,False,False,0,0
2023-03-01,火电,False,False,0,0
2023-03-01,炭黑,False,False,0,0
2023-03-01,热力,False,False,0,0
2023-03-01,焦炭加工,False,False,0,0
2023-03-01,煤炭开采,False,False,0,0
2023-03-01,燃气,False,False,0,0
2023-03-01,燃气Ⅲ,False,False,0,0
2023-03-01,物流,False,False,0,0
2023-03-01,特钢,False,False,0,0
2023-03-01,环保设备,False,False,0,0
2023-03-01,玻璃玻纤,False,False,0,0
2023-03-01,瓷砖地板,False,True,-1,0
2023-03-01,电子化学品,False,False,0,0
2023-03-01,电机,False,False,0,0
2023-03-01,电气自控设备,False,False,0,0
2023-03-01,电池,False,False,0,0
2023-03-01,电能综合服务,False,False,0,0
2023-03-01,畜禽养殖,False,False,0,0
2023-03-01,疫苗,False,False,0,0
2023-03-01,白酒,False,False,0,0
2023-03-01,百货零售,False,False,0,0
2023-03-01,石油加工,False,False,0,0
2023-03-01,磁性材料,False,False,0,0
2023-03-01,磨具磨料,False,False,0,0
2023-03-01,磷肥及磷化工,False,False,0,0
2023-03-01,种子生产,False,False,0,0
2023-03-01,稀土,False,True,-1,0
2023-03-01,空调,False,False,0,0
2023-03-01,管材,False,False,0,0
2023-03-01,粘胶,False,True,-1,0
2023-03-01,粮油加工,False,False,0,0
2023-03-01,粮食种植,False,True,-1,0
2023-03-01,纯碱,False,True,-1,0
2023-03-01,纺织化学用品,False,False,0,0
2023-03-01,纺织服装设备,False,False,0,0
2023-03-01,线缆部件及其他,False,False,0,0
2023-03-01,综合,False,False,0,0
2023-03-01,综合环境治理,False,False,0,0
2023-03-01,耐火材料,False,False,0,0
2023-03-01,聚氨酯,False,False,0,0
2023-03-01,肉制品,False,False,0,0
2023-03-01,股份制银行,False,True,-1,0
2023-03-01,能源及重型设备,False,False,0,0
2023-03-01,能源金属,False,False,0,0
2023-03-01,膜材料,False,False,0,0
2023-03-01,自然景点,False,False,0,0
2023-03-01,航天装备,False,False,0,0
2023-03-01,航海装备,False,False,0,0
2023-03-01,航空装备,False,False,0,0
2023-03-01,航空运输,False,False,0,0
2023-03-01,航运,False,False,0,0
2023-03-01,血液制品,False,False,0,0
2023-03-01,被动元件,False,False,0,0
2023-03-01,装饰园林,False,False,0,0
2023-03-01,计算机设备,False,False,0,0
2023-03-01,证券,False,False,0,0
2023-03-01,调味发酵品,False,False,0,0
2023-03-01,贵金属,False,True,-1,0
2023-03-01,贵金属Ⅲ,False,False,0,0
2023-03-01,贸易,False,False,0,0
2023-03-01,轨交设备,False,False,0,0
2023-03-01,软件开发,False,False,0,0
2023-03-01,软饮料,False,False,0,0
2023-03-01,辅料,False,False,0,0
2023-03-01,输变电设备,False,False,0,0
2023-03-01,通信服务,False,False,0,0
2023-03-01,通信服务Ⅲ,False,True,-1,0
2023-03-01,通信线缆及配套,False,False,0,0
2023-03-01,通信终端及配件,False,False,0,0
2023-03-01,通信网络设备及器件,False,False,0,0
2023-03-01,造纸,False,False,0,0
2023-03-01,酒店,False,False,0,0
2023-03-01,金属制品,False,False,0,0
2023-03-01,钛白粉,False,True,-1,0
2023-03-01,钾肥,False,False,0,0
2023-03-01,铁路运输,False,True,-1,0
2023-03-01,铅锌,False,False,0,0
2023-03-01,铜,False,False,0,0
2023-03-01,铝,False,False,0,0
2023-03-01,集成电路制造,False,True,-1,0
2023-03-01,集成电路封测,False,False,0,0
2023-03-01,集成电路设计,False,False,0,0
2023-03-01,非金属材料,False,False,0,0
2023-03-01,非金属材料Ⅲ,False,False,0,0
2023-03-01,面板,False,False,0,0
2023-03-01,鞋帽及其他,False,False,0,0
2023-03-01,风电设备,False,False,0,0
2023-03-01,食品及饲料添加剂,False,False,0,0
2023-03-01,餐饮,False,False,0,0
2023-03-01,饰品,False,False,0,0
2023-03-01,饲料,False,False,0,0
2023-03-01,高速公路,False,False,0,0
2023-03-02,IT服务,False,False,0,0
2023-03-02,LED,False,False,0,0
2023-03-02,专业工程,False,False,0,0
2023-03-02,专业服务,False,False,0,0
2023-03-02,专业连锁,False,False,0,0
2023-03-02,个护用品,False,False,0,0
2023-03-02,中药,False,False,0,0
2023-03-02,乘用车,False,False,0,0
2023-03-02,乳品,False,False,0,0
2023-03-02,互联网电商,False,False,0,0
2023-03-02,产业地产,False,False,0,0
2023-03-02,人工景点,False,False,0,0
2023-03-02,仪器仪表,False,False,0,0
2023-03-02,休闲食品,False,False,0,0
2023-03-02,住宅开发,False,False,0,0
2023-03-02,体外诊断,False,False,0,0
2023-03-02,体育,False,True,-1,0
2023-03-02,保险,False,False,1,0
2023-03-02,光伏设备,False,False,0,0
2023-03-02,光学元件,False,False,0,0
2023-03-02,公交,False,False,0,0
2023-03-02,其他专用设备,False,False,0,0
2023-03-02,其他交运设备,False,False,0,0
2023-03-02,其他传媒,False,False,0,0
2023-03-02,其他农产品加工,False,False,0,0
2023-03-02,其他化学制品,False,False,0,0
2023-03-02,其他化学原料,False,False,0,0
2023-03-02,其他医疗服务,False,False,0,0
2023-03-02,其他塑料制品,False,False,0,0
2023-03-02,其他家用轻工,False,False,0,0
2023-03-02,其他小金属,False,False,0,0
2023-03-02,其他建材,False,False,0,0
2023-03-02,其他橡胶制品,False,False,0,0
2023-03-02,其他生物制品,False,False,0,0
2023-03-02,其他电子,False,False,0,0
