板块名称,股票个数
IT服务,92
LED,36
专业工程,24
专业服务,23
专业连锁,4
专用设备,163
个护用品,12
中药,47
乘用车,1
乳品,14
互联网电商,16
产业地产,5
人工景点,4
仪器仪表,45
休闲食品,13
传媒,101
住宅开发,64
体外诊断,27
体育,3
保险及其他,15
光伏设备,16
光学元件,15
光学光电子,84
公交,7
公路铁路运输,22
其他专用设备,66
其他交运设备,10
其他传媒,46
其他农产品加工,10
其他化学制品,61
其他化学原料,15
其他医疗服务,14
其他塑料制品,19
其他家用轻工,28
其他小金属,11
其他建材,18
其他橡胶制品,7
其他生物制品,19
其他电子,34
其他电源设备,13
其他白色家电,24
其他社会服务,26
其他种植业,8
其他纤维,5
其他纺织,17
其他自动化设备,18
其他通信设备,12
其他通用设备,47
其他酒类,7
其他金属新材料,11
其他食品,14
其他黑色家电,5
养殖业,16
军工电子,35
农业服务,13
农业综合,3
农产品加工,32
农商行,4
农用机械,6
农药,22
冰洗,4
冶钢原料,3
出版,20
分立器件,5
制冷空调设备,11
动物保健,10
包装,37
包装印刷,42
化妆品,8
化学制剂,69
化学制品,157
化学制药,100
化学原料,34
化工合成材料,87
医疗器械,80
医疗服务,29
医疗研发外包,15
医疗美容,1
医疗耗材,29
医疗设备,24
医药商业,22
半导体及元件,89
半导体材料,6
半导体设备,6
印制电路板,30
印刷,5
印刷包装机械,11
印染,4
原料药,28
厨卫电器,7
合成树脂,8
品牌消费电子,4
商业地产,2
商业物业经营,14
商用载客车,5
商用载货车,1
啤酒,3
固废治理,24
国防军工,74
地面兵装,6
基础建设,15
复合肥,6
多元金融,15
大气治理,7
家具,25
家用轻工,93
家纺,6
小家电,15
小家电Ⅲ,18
小金属,12
工业金属,32
工控设备,23
工程咨询服务,40
工程机械,19
广告营销,27
建筑材料,57
建筑装饰,126
影视院线,17
房地产开发,71
房地产服务,7
房屋建设,4
改性塑料,17
教育,20
数字媒体,11
文娱用品,19
新能源发电,9
旅游综合,3
无机盐,6
普钢,7
景点及旅游,18
有机硅,8
有线电视网络,7
服装,33
服装家纺,56
机器人,16
机场,1
机场航运,2
机床工具,16
林业,4
果蔬加工,5
棉纺,8
楼宇设备,11
民爆用品,8
氟化工,1
氨纶,1
氮肥,4
氯碱,8
水产养殖,4
水务及水治理,36
水泥,18
水电,5
汽车整车,7
汽车服务,10
汽车服务Ⅲ,9
汽车零部件,179
油品石化贸易,5
油服工程,9
油气开采,4
油气开采及服务,13
海洋捕捞,2
涂料油墨,14
消费电子,74
消费电子零部件及组装,70
涤纶,7
港口,7
港口航运,13
游戏,19
激光设备,6
火电,10
炭黑,6
热力,13
焦炭加工,5
煤炭开采,5
煤炭开采加工,9
燃气,24
燃气Ⅲ,20
物流,30
特钢,8
环保,119
环保设备,25
玻璃玻纤,9
瓷砖地板,9
生物制品,23
电力,43
电力设备,193
电子化学品,24
电机,14
电气自控设备,29
电池,37
电能综合服务,6
畜禽养殖,10
疫苗,2
白色家电,29
白酒,3
百货零售,39
石油加工,12
石油加工贸易,17
磁性材料,6
磨具磨料,13
磷肥及磷化工,4
种子生产,5
种植业与林业,17
空调,1
管材,7
粘胶,1
粮油加工,6
纯碱,2
纺织制造,31
纺织化学用品,11
纺织服装设备,10
线缆部件及其他,32
综合,24
综合环境治理,27
美容护理,21
耐火材料,5
聚氨酯,7
肉制品,7
能源及重型设备,40
能源金属,1
膜材料,16
自动化设备,63
自然景点,11
航天装备,3
航海装备,7
航空装备,23
航空运输,1
航运,6
血液制品,2
被动元件,8
装饰园林,42
计算机应用,181
计算机设备,69
调味发酵品,8
贵金属,5
贵金属Ⅲ,2
贸易,15
轨交设备,24
软件开发,89
软饮料,9
辅料,2
输变电设备,40
通信服务,30
通信服务Ⅲ,4
通信线缆及配套,9
通信终端及配件,21
通信网络设备及器件,23
通信设备,65
通用设备,147
造纸,16
酒店,4
酒店及餐饮,7
金属制品,60
金属新材料,17
钛白粉,3
钢铁,18
铁路运输,3
铅锌,7
铜,5
铝,20
银行,4
集成电路封测,5
集成电路设计,29
零售,57
非汽车交运,34
非金属材料,8
非金属材料Ⅲ,5
面板,33
鞋帽及其他,17
风电设备,12
食品加工制造,56
食品及饲料添加剂,14
餐饮,3
饮料制造,22
饰品,12
饲料,11
高速公路,12
黑色家电,5
