日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,股票代码
2023-05-04,21.87,1.72,-2440560.0,-3.29,-551735.0,-0.74,-1888825.0,-2.55,1555299.0,2.1,885262.0,1.2,300119
2023-05-04,3.79,0.0,-1393569.0,-5.17,1134000.0,4.21,-2527569.0,-9.38,-1058603.0,-3.93,2452172.0,9.1,002141
2023-05-04,5.23,1.36,-4872273.0,-7.1,486128.0,0.71,-5358401.0,-7.81,3303136.0,4.81,1569138.0,2.29,300021
2023-05-04,10.69,-0.65,-6854475.0,-5.83,-9134176.0,-7.77,2279701.0,1.94,8247713.0,7.02,-1393239.0,-1.19,600201
2023-05-04,7.77,1.04,-1371455.0,-15.67,-256596.0,-2.93,-1114859.0,-12.73,-77532.0,-0.89,1448987.0,16.55,688098
2023-05-04,18.41,2.62,-3450691.0,-8.17,0.0,0.0,-3450691.0,-8.17,-15084.0,-0.04,3465775.0,8.21,300871
2023-05-04,10.36,0.29,510086.0,1.03,-465910.0,-0.94,975996.0,1.96,5400482.0,10.87,-5910569.0,-11.9,603718
2023-05-04,12.92,-0.62,4152671.0,3.04,1496720.0,1.1,2655951.0,1.94,15312517.0,11.21,-19465188.0,-14.25,600195
2023-05-04,8.25,-0.48,-10622869.0,-24.53,-6934416.0,-16.01,-3688453.0,-8.52,3354437.0,7.75,7268432.0,16.78,002556
2023-05-04,3.05,-0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10217.0,-3.19,838275
2023-05-04,7.9,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2810.0,-0.58,-2329.0,-0.48,839729
2023-05-04,3.2,-0.31,-634415.0,-34.33,0.0,0.0,-634415.0,-34.33,-1009571.0,-54.63,56015.0,3.03,830964
2023-05-04,5.11,1.59,-2983194.0,-8.52,1527000.0,4.36,-4510194.0,-12.88,-3512399.0,-10.03,6495593.0,18.56,002688
2023-05-04,26.59,0.04,-2284991.0,-3.12,513037.0,0.7,-2798028.0,-3.82,5626383.0,7.69,-3341391.0,-4.57,603566
2023-05-04,35.07,2.94,561707.0,0.83,0.0,0.0,561707.0,0.83,-2736479.0,-4.05,2174772.0,3.22,002868
2023-05-04,25.88,1.13,-65401.0,-0.11,600864.0,0.97,-666265.0,-1.07,-8304769.0,-13.38,8370169.0,13.48,688526
2023-05-04,37.91,-1.4,-2715762.0,-5.62,0.0,0.0,-2715762.0,-5.62,-4580372.0,-9.47,7296135.0,15.09,300761
2023-05-04,7.52,0.53,3787110.0,3.18,-4247234.0,-3.57,8034344.0,6.75,3498730.0,2.94,-7285840.0,-6.12,000735
2023-05-04,24.87,-0.96,-7132576.0,-16.62,0.0,0.0,-7132576.0,-16.62,-1354308.0,-3.15,8486884.0,19.77,001201
2023-05-04,47.09,-1.63,-98230194.0,-8.92,-131582195.0,-11.95,33352001.0,3.03,35457744.0,3.22,62772432.0,5.7,002714
2023-05-04,3.98,4.19,6373016.0,12.38,2368944.0,4.6,4004072.0,7.78,-948377.0,-1.84,-5424639.0,-10.53,002069
2023-05-04,24.13,-0.29,768513.0,4.16,-48194.0,-0.26,816707.0,4.42,1120577.0,6.07,-1889090.0,-10.23,605296
2023-05-04,16.1,-0.68,-3720763.0,-13.55,260010.0,0.95,-3980773.0,-14.49,-1462747.0,-5.33,5183511.0,18.87,300967
2023-05-04,4.89,-6.86,-90405199.0,-25.62,-30027024.0,-8.51,-60378175.0,-17.11,5090174.0,1.44,85315025.0,24.18,002124
2023-05-04,37.35,-0.4,-561756.0,-2.29,0.0,0.0,-561756.0,-2.29,-2927684.0,-11.96,3489439.0,14.25,002982
2023-05-04,29.37,-2.2,-30212658.0,-10.78,-3795457.0,-1.35,-26417201.0,-9.43,-27453595.0,-9.8,57666253.0,20.58,603477
2023-05-04,10.08,-9.76,29637.0,0.03,-2201533.0,-2.02,2231170.0,2.05,18407175.0,16.91,-18436813.0,-16.94,600097
2023-05-04,19.49,-1.47,-18542373.0,-4.47,-27108697.0,-6.53,8566324.0,2.06,-11449591.0,-2.76,29991964.0,7.22,300498
2023-05-04,7.23,3.29,19081426.0,34.03,12384571.0,22.08,6696855.0,11.94,-9125134.0,-16.27,-9956291.0,-17.75,600965
2023-05-04,21.52,0.56,2913731.0,1.08,-10484345.0,-3.88,13398076.0,4.96,33296596.0,12.33,-36210328.0,-13.41,002299
2023-05-04,10.83,-1.55,-27359418.0,-10.22,-7527717.0,-2.81,-19831701.0,-7.41,-14143644.0,-5.28,41503061.0,15.5,600975
2023-05-04,2.49,1.22,-1811718.0,-4.32,5652040.0,13.49,-7463758.0,-17.81,-2733646.0,-6.52,4545364.0,10.85,600467
2023-05-04,4.9,0.2,386095.0,0.84,202548.0,0.44,183547.0,0.4,-33719.0,-0.07,-352377.0,-0.76,600257
2023-05-04,2.75,0.73,926645.0,4.84,-181500.0,-0.95,1108145.0,5.78,-1189021.0,-6.21,262376.0,1.37,002321
2023-05-04,5.16,1.98,8809347.0,8.25,8350738.0,7.82,458609.0,0.43,-8069374.0,-7.56,-739972.0,-0.69,300094
2023-05-04,19.27,0.73,-40505.0,-0.04,1631886.0,1.45,-1672391.0,-1.49,1496040.0,1.33,-1455535.0,-1.3,002234
2023-05-04,14.71,2.22,24936487.0,10.83,2358099.0,1.02,22578388.0,9.81,-7602861.0,-3.3,-17333626.0,-7.53,002458
2023-05-04,11.48,0.35,-8148061.0,-13.91,1293974.0,2.21,-9442035.0,-16.12,2424184.0,4.14,5723878.0,9.77,000798
2023-05-04,9.1,1.34,-23680851.0,-18.88,3306585.0,2.64,-26987436.0,-21.51,-8380947.0,-6.68,32061798.0,25.56,002746
2023-05-04,5.63,2.18,-102617.0,-0.44,0.0,0.0,-102617.0,-0.44,2958227.0,12.54,-2855610.0,-12.11,300313
2023-05-04,4.48,2.99,-8823943.0,-7.28,-5997597.0,-4.95,-2826346.0,-2.33,-6183810.0,-5.1,15007752.0,12.38,600758
2023-05-04,19.59,0.1,-9507617.0,-1.09,-76271786.0,-8.74,66764169.0,7.65,15917084.0,1.82,-6409470.0,-0.73,601225
2023-05-04,9.32,0.11,-5537697.0,-2.56,-7621849.0,-3.52,2084152.0,0.96,1826043.0,0.84,3711655.0,1.72,600971
2023-05-04,20.15,0.0,68620554.0,7.56,48953542.0,5.4,19667012.0,2.17,8739850.0,0.96,-77360409.0,-8.53,601699
2023-05-04,3.03,1.0,535947.0,1.22,-402501.0,-0.92,938448.0,2.14,-1553470.0,-3.54,1017524.0,2.32,600397
2023-05-04,4.22,1.69,-99078.0,-0.08,7945.0,0.01,-107023.0,-0.09,-2409393.0,-1.92,2508470.0,1.99,601918
2023-05-04,10.11,-9.49,-51758085.0,-12.78,-17917892.0,-4.42,-33840193.0,-8.35,20964866.0,5.18,30793218.0,7.6,601001
2023-05-04,14.85,1.78,1176505.0,0.58,8664921.0,4.25,-7488416.0,-3.68,-7649907.0,-3.75,6473403.0,3.18,600508
2023-05-04,29.57,1.69,117991814.0,11.14,109010974.0,10.29,8980840.0,0.85,-33988832.0,-3.21,-84002990.0,-7.93,601088
2023-05-04,13.82,2.6,6867547.0,2.46,-1725040.0,-0.62,8592587.0,3.08,1983404.0,0.71,-8850951.0,-3.17,002128
2023-05-04,3.59,0.28,2085840.0,4.46,1385965.0,2.97,699875.0,1.5,-997904.0,-2.14,-1087937.0,-2.33,601011
2023-05-04,3.32,1.84,-683287.0,-4.19,330.0,0.0,-683617.0,-4.19,-838748.0,-5.14,1522034.0,9.33,600792
2023-05-04,5.4,0.37,-6835741.0,-8.52,-2105365.0,-2.62,-4730376.0,-5.9,2509513.0,3.13,4326226.0,5.39,600740
2023-05-04,7.99,1.01,-18139129.0,-10.29,-5348408.0,-3.03,-12790721.0,-7.26,7165050.0,4.07,10974079.0,6.23,000723
2023-05-04,17.13,-0.98,40189402.0,5.89,-30060403.0,-4.41,70249805.0,10.3,1169208.0,0.17,-41358610.0,-6.06,600546
2023-05-04,9.09,-2.05,-2282252.0,-3.48,1261282.0,1.93,-3543534.0,-5.41,4702456.0,7.18,-2420204.0,-3.69,603113
2023-05-04,4.82,1.26,-25643559.0,-38.41,-5580259.0,-8.36,-20063300.0,-30.05,4547741.0,6.81,21095819.0,31.6,600403
2023-05-04,6.97,1.16,-20489080.0,-21.93,-8564388.0,-9.17,-11924692.0,-12.76,6629936.0,7.1,13859144.0,14.83,600997
2023-05-04,7.49,1.22,-39585337.0,-7.78,-25986247.0,-5.11,-13599090.0,-2.67,-1884654.0,-0.37,41469991.0,8.15,000937
2023-05-04,9.55,-0.73,6968277.0,2.59,469310.0,0.17,6498967.0,2.42,8517276.0,3.17,-15485552.0,-5.75,601666
2023-05-04,12.68,-0.24,-16027637.0,-10.03,-12700667.0,-7.95,-3326970.0,-2.08,8360034.0,5.23,7667604.0,4.8,600123
2023-05-04,4.57,1.33,-5064581.0,-10.17,-1746409.0,-3.51,-3318172.0,-6.66,1813641.0,3.64,3250939.0,6.53,600121
2023-05-04,6.41,0.94,-5191488.0,-6.76,-5664943.0,-7.38,473455.0,0.62,664762.0,0.87,4526728.0,5.89,601101
2023-05-04,33.84,-1.6,9636775.0,1.2,-22741303.0,-2.84,32378078.0,4.04,22017577.0,2.75,-31654346.0,-3.95,600188
2023-05-04,6.74,-0.59,-8942326.0,-10.18,-6617102.0,-7.53,-2325224.0,-2.65,5110699.0,5.82,3831627.0,4.36,600395
2023-05-04,8.91,-1.11,-9205678.0,-3.12,-4217525.0,-1.43,-4988153.0,-1.69,2363820.0,0.8,6841858.0,2.32,601898
2023-05-04,14.02,0.14,-5238918.0,-1.5,-10411138.0,-2.99,5172220.0,1.48,5884730.0,1.69,-645812.0,-0.19,600348
2023-05-04,13.67,0.59,-7968901.0,-2.86,-1283983.0,-0.46,-6684918.0,-2.4,5262593.0,1.89,2706308.0,0.97,600985
2023-05-04,2.72,0.37,-1435722.0,-8.99,-2407607.0,-15.08,971885.0,6.09,669924.0,4.2,765799.0,4.8,600726
2023-05-04,3.45,2.37,-16144632.0,-8.56,-7923100.0,-4.2,-8221532.0,-4.36,8302813.0,4.4,7841820.0,4.16,000552
2023-05-04,4.54,0.22,-377608.0,-1.05,-606156.0,-1.69,228548.0,0.64,-2137015.0,-5.96,2514623.0,7.02,601015
2023-05-04,2.3,5.02,7901698.0,10.82,-2177569.0,-2.98,10079267.0,13.8,-3680292.0,-5.04,-4221407.0,-5.78,000571
2023-05-04,10.18,-0.88,5803957.0,1.58,16401849.0,4.46,-10597892.0,-2.88,-30479344.0,-8.3,24675387.0,6.72,000983
2023-05-04,3.17,1.28,-8441126.0,-9.5,232789.0,0.26,-8673915.0,-9.76,1906704.0,2.15,6534422.0,7.36,600108
2023-05-04,15.85,-0.44,-393084.0,-9.24,-216460.0,-5.09,-176624.0,-4.15,-543905.0,-12.78,936989.0,22.02,600265
2023-05-04,2.44,2.09,7954538.0,16.87,7081280.0,15.02,873258.0,1.85,-1305620.0,-2.77,-6648918.0,-14.1,000592
2023-05-04,9.22,2.33,17260207.0,12.66,8102177.0,5.94,9158030.0,6.72,-5801252.0,-4.25,-11458955.0,-8.4,000713
2023-05-04,15.44,1.58,13467269.0,8.32,2819750.0,1.74,10647519.0,6.58,-5302010.0,-3.27,-8165258.0,-5.04,300087
2023-05-04,7.51,4.74,-3571509.0,-10.09,-310005.0,-0.88,-3261504.0,-9.21,-2983650.0,-8.43,6555159.0,18.51,600883
2023-05-04,17.18,1.9,22946279.0,14.9,15080251.0,9.79,7866028.0,5.11,-11361568.0,-7.38,-11584710.0,-7.52,002041
2023-05-04,3.47,1.76,5844407.0,11.28,5190000.0,10.02,654407.0,1.26,-4884469.0,-9.43,-959939.0,-1.85,300189
2023-05-04,12.0,1.1,-373779.0,-1.07,315684.0,0.9,-689463.0,-1.97,-515534.0,-1.48,889313.0,2.55,600371
2023-05-04,4.72,1.29,-12294806.0,-6.92,-9412294.0,-5.3,-2882512.0,-1.62,9793729.0,5.51,2501077.0,1.41,601118
2023-05-04,11.11,1.93,10835354.0,7.33,432895.0,0.29,10402459.0,7.04,-4916824.0,-3.33,-5918532.0,-4.0,002772
2023-05-04,4.49,3.7,1464629.0,3.05,1170358.0,2.43,294271.0,0.61,-5252197.0,-10.93,3787568.0,7.88,600540
2023-05-04,11.96,-0.25,-5502464.0,-6.58,-3373729.0,-4.03,-2128735.0,-2.55,90155.0,0.11,5412310.0,6.47,601952
2023-05-04,13.75,1.33,-13934273.0,-5.37,-9736021.0,-3.75,-4198252.0,-1.62,-12769732.0,-4.92,26704005.0,10.29,600598
2023-05-04,6.66,0.0,-2059230.0,-11.63,0.0,0.0,-2059230.0,-11.63,-506761.0,-2.86,-136632.0,-0.77,831087
2023-05-04,7.99,1.01,-4775138.0,-13.9,285841.0,0.83,-5060979.0,-14.73,-57859.0,-0.17,4832997.0,14.07,600359
2023-05-04,9.01,1.12,-4586087.0,-2.7,-8131891.0,-4.79,3545804.0,2.09,1423451.0,0.84,3162636.0,1.86,600313
2023-05-04,9.52,5.08,-17871059.0,-14.93,-7740443.0,-6.47,-10130616.0,-8.46,2766167.0,2.31,15104892.0,12.62,000663
2023-05-04,15.9,4.4,-19700521.0,-3.68,-5113119.0,-0.95,-14587402.0,-2.72,6641120.0,1.24,13059399.0,2.44,000998
2023-05-04,38.51,-2.16,-4355197.0,-1.76,-13067405.0,-5.29,8712208.0,3.53,-9818400.0,-3.98,14173598.0,5.74,300972
2023-05-04,7.95,2.45,-2014192.0,-0.77,2588989.0,0.99,-4603181.0,-1.75,2542392.0,0.97,-528199.0,-0.2,300511
2023-05-04,11.22,2.28,-141080.0,-0.63,-40284.0,-0.18,-100796.0,-0.45,47732.0,0.21,93348.0,0.42,002679
2023-05-04,7.04,5.23,26528300.0,11.63,13749068.0,6.03,12779232.0,5.6,-5610177.0,-2.46,-20918123.0,-9.17,600354
