日期,板块名称,涨的数量,跌的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停
2023-03-01,小金属,1,0,100.0,0.3,94724846926.32,947.25,0,0,0,0,0,1,0,0,0
2023-03-01,工程机械,2,0,100.0,1.475,176463970208.66998,1764.64,0,0,0,0,0,2,0,0,0
2023-03-01,广告营销,1,0,100.0,3.06,97340426153.24,973.40,0,0,0,0,0,0,1,0,0
2023-03-01,建筑材料,4,0,100.0,3.5700000000000003,292883267214.08997,2928.83,0,0,0,0,0,1,3,0,0
2023-03-01,建筑装饰,5,0,100.0,2.5140000000000002,350699340532.35,3506.99,0,0,0,0,0,4,1,0,0
2023-03-01,数字媒体,1,0,100.0,3.82,65101084361.99999,651.01,0,0,0,0,0,0,1,0,0
2023-03-01,普钢,1,0,100.0,0.98,94361017581.35999,943.61,0,0,0,0,0,1,0,0,0
2023-03-01,机场航运,1,0,100.0,1.33,57288084189.63,572.88,0,0,0,0,0,1,0,0,0
2023-03-01,氟化工,1,0,100.0,1.7,51727134911.96,517.27,0,0,0,0,0,1,0,0,0
2023-03-01,氮肥,1,0,100.0,1.8,78095709563.22,780.96,0,0,0,0,0,1,0,0,0
2023-03-01,水泥,1,0,100.0,2.77,86807496596.28,868.07,0,0,0,0,0,1,0,0,0
2023-03-01,水电,1,1,50.0,0.37,138844708630.97,1388.45,0,0,0,1,0,1,0,0,0
2023-03-01,汽车整车,3,0,100.0,1.97,205452410100.76,2054.52,0,0,0,0,0,2,1,0,0
2023-03-01,汽车零部件,2,1,66.66666666666666,-0.06666666666666672,207414066061.72,2074.14,0,0,0,1,0,2,0,0,0
2023-03-01,油气开采,0,1,0.0,-0.56,70450552641.47,704.51,0,0,0,1,0,0,0,0,0
2023-03-01,油气开采及服务,0,1,0.0,-0.56,70450552641.47,704.51,0,0,0,1,0,0,0,0,0
2023-03-01,消费电子,3,0,100.0,1.32,204627880542.18,2046.28,0,0,0,0,0,3,0,0,0
2023-03-01,消费电子零部件及组装,2,0,100.0,1.1600000000000001,138703951842.18,1387.04,0,0,0,0,0,2,0,0,0
2023-03-01,涤纶,0,1,0.0,-0.84,95683977912.6,956.84,0,0,0,1,0,0,0,0,0
2023-03-01,港口,0,0,,0.0,70813973772.36,708.14,0,0,0,0,1,0,0,0,0
2023-03-01,港口航运,2,0,100.0,2.9633333333333334,215570868493.75,2155.71,0,0,0,0,1,1,0,1,0
2023-03-01,游戏,1,0,100.0,4.73,51033057105.810005,510.33,0,0,0,0,0,0,1,0,0
2023-03-01,火电,2,0,100.0,0.8666666666666667,208558992783.48,2085.59,0,0,0,0,1,2,0,0,0
2023-03-01,煤炭开采,3,0,100.0,0.8266666666666667,201824589600.0,2018.25,0,0,0,0,0,3,0,0,0
2023-03-01,煤炭开采加工,3,0,100.0,0.8266666666666667,201824589600.0,2018.25,0,0,0,0,0,3,0,0,0
2023-03-01,燃气,1,0,100.0,3.88,62159171896.42,621.59,0,0,0,0,0,0,1,0,0
2023-03-01,燃气Ⅲ,1,0,100.0,3.88,62159171896.42,621.59,0,0,0,0,0,0,1,0,0
2023-03-01,物流,1,0,100.0,1.1,63135967374.55,631.36,0,0,0,0,0,1,0,0,0
2023-03-01,玻璃玻纤,1,0,100.0,3.04,62488964324.079994,624.89,0,0,0,0,0,0,1,0,0
2023-03-01,生物制品,1,1,50.0,0.01999999999999999,141237652860.62,1412.38,0,0,0,1,0,1,0,0,0
2023-03-01,电力,3,1,75.0,0.6679999999999999,347403701414.45,3474.04,0,0,0,1,1,3,0,0,0
2023-03-01,电力设备,6,7,46.15384615384615,-0.38692307692307687,892943708915.35,8929.44,0,0,0,7,1,5,0,0,0
2023-03-01,电池,3,1,75.0,0.615,278833752768.45,2788.34,0,0,0,1,0,3,0,0,0
2023-03-01,疫苗,1,0,100.0,0.42,61689879861.12,616.90,0,0,0,0,0,1,0,0,0
2023-03-01,白色家电,0,2,0.0,-2.2600000000000002,167123966294.64,1671.24,0,0,1,1,0,0,0,0,0
2023-03-01,白酒,1,2,33.33333333333333,-0.24666666666666667,202224592246.85,2022.25,0,0,0,2,0,1,0,0,0
2023-03-01,纺织制造,1,0,100.0,0.83,67744350000.0,677.44,0,0,0,0,0,1,0,0,0
2023-03-01,美容护理,0,3,0.0,-0.84,170023518247.05,1700.24,0,0,0,3,0,0,0,0,0
2023-03-01,肉制品,1,0,100.0,1.36,92991506956.92,929.92,0,0,0,0,0,1,0,0,0
