日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,股票代码
2023-04-03,4.12,-0.48,-7114840.0,-14.09,-2967601.0,-5.88,-4147239.0,-8.22,5792565.0,11.47,1322275.0,2.62,600758
2023-04-03,20.2,-0.69,42546511.0,4.88,87523994.0,10.04,-44977483.0,-5.16,-28448792.0,-3.26,-14097719.0,-1.62,601225
2023-04-03,8.88,1.95,9479318.0,2.34,12488778.0,3.08,-3009460.0,-0.74,-25282412.0,-6.23,15803095.0,3.9,600971
2023-04-03,22.19,1.14,-23037445.0,-5.34,8306156.0,1.93,-31343601.0,-7.27,21793251.0,5.05,1244193.0,0.29,601699
2023-04-03,2.94,0.0,-4301752.0,-15.59,-3090149.0,-11.2,-1211603.0,-4.39,2493726.0,9.04,1808026.0,6.55,600397
2023-04-03,4.14,0.24,-1873077.0,-3.09,-4305953.0,-7.1,2432876.0,4.01,6276611.0,10.35,-4403533.0,-7.26,601918
2023-04-03,11.1,-0.8,-56754740.0,-19.26,-4970009.0,-1.69,-51784731.0,-17.57,21825577.0,7.41,34929165.0,11.85,601001
2023-04-03,14.07,-0.07,-15107620.0,-19.32,-8110262.0,-10.37,-6997358.0,-8.95,5288914.0,6.76,9818705.0,12.56,600508
2023-04-03,27.89,-0.99,-119041993.0,-14.53,-59377286.0,-7.25,-59664707.0,-7.28,27749494.0,3.39,91292492.0,11.15,601088
2023-04-03,13.33,-0.82,-2758162.0,-1.28,-7635292.0,-3.55,4877130.0,2.27,33454716.0,15.55,-30696554.0,-14.26,002128
2023-04-03,3.6,0.28,-4798360.0,-10.31,-3789147.0,-8.14,-1009213.0,-2.17,3518410.0,7.56,1279950.0,2.75,601011
2023-04-03,3.35,0.0,1529814.0,9.44,252617.0,1.56,1277197.0,7.88,1174615.0,7.25,-2704428.0,-16.7,600792
2023-04-03,5.57,0.54,-6544456.0,-8.68,-5478241.0,-7.27,-1066215.0,-1.41,3841527.0,5.1,2702929.0,3.59,600740
2023-04-03,9.19,0.11,-2722826.0,-1.05,-5082375.0,-1.97,2359549.0,0.91,1680041.0,0.65,1042785.0,0.4,000723
2023-04-03,16.01,0.5,-17456029.0,-2.58,-58187999.0,-8.61,40731970.0,6.02,7284055.0,1.08,10171974.0,1.5,600546
2023-04-03,10.24,2.91,-12914628.0,-9.19,-4490164.0,-3.2,-8424464.0,-5.99,13623204.0,9.69,-708575.0,-0.5,603113
2023-04-03,5.15,0.39,4805677.0,11.26,1066960.0,2.5,3738717.0,8.76,2578823.0,6.04,-7384500.0,-17.31,600403
2023-04-03,7.02,0.57,3533976.0,5.98,-281215.0,-0.48,3815191.0,6.46,4159213.0,7.04,-7693189.0,-13.02,600997
2023-04-03,6.94,1.46,-19449222.0,-9.83,-5736679.0,-2.9,-13712543.0,-6.93,6816438.0,3.44,12632784.0,6.38,000937
2023-04-03,10.4,0.29,-43737752.0,-11.15,-49599353.0,-12.65,5861601.0,1.49,24492329.0,6.25,19245423.0,4.91,601666
2023-04-03,12.86,0.16,-13637766.0,-8.19,-10105895.0,-6.07,-3531871.0,-2.12,5754070.0,3.45,7883696.0,4.73,600123
2023-04-03,4.82,0.21,-2931540.0,-6.53,-2663370.0,-5.93,-268170.0,-0.6,-724103.0,-1.61,3655643.0,8.14,600121
2023-04-03,6.37,0.79,-6985499.0,-13.33,-1026902.0,-1.96,-5958597.0,-11.37,3194618.0,6.09,3790881.0,7.23,601101
2023-04-03,35.51,-0.17,-15385761.0,-1.43,-9787729.0,-0.91,-5598032.0,-0.52,-5420096.0,-0.5,20805856.0,1.93,600188
2023-04-03,7.23,0.0,-16251429.0,-10.2,-13154559.0,-8.26,-3096870.0,-1.94,2383972.0,1.5,13867457.0,8.71,600395
2023-04-03,7.99,1.14,2386345.0,0.87,-532003.0,-0.19,2918348.0,1.06,-9804413.0,-3.57,7418069.0,2.7,601898
2023-04-03,13.9,0.58,-50962691.0,-11.46,-35299342.0,-7.94,-15663349.0,-3.52,19704444.0,4.43,31258247.0,7.03,600348
2023-04-03,13.59,0.22,-6935363.0,-2.47,-6946952.0,-2.48,11589.0,0.0,-10469775.0,-3.74,17405138.0,6.21,600985
2023-04-03,2.66,-0.37,-653647.0,-5.58,-1092291.0,-9.32,438644.0,3.74,-87193.0,-0.74,740840.0,6.32,600726
2023-04-03,3.37,0.3,-834578.0,-1.12,-3051140.0,-4.09,2216562.0,2.97,5920269.0,7.94,-5085691.0,-6.82,000552
2023-04-03,4.8,0.63,-620832.0,-1.46,252993.0,0.6,-873825.0,-2.06,-2358419.0,-5.55,2979251.0,7.01,601015
2023-04-03,2.22,3.74,-2618559.0,-4.71,1081140.0,1.94,-3699699.0,-6.65,-1449713.0,-2.61,4068273.0,7.31,000571
2023-04-03,11.08,0.82,-11903143.0,-1.95,-18630041.0,-3.05,6726898.0,1.1,-1549722.0,-0.25,13452865.0,2.2,000983
2023-04-03,3.1,0.32,-222287.0,-0.5,-165338.0,-0.37,-56949.0,-0.13,3193036.0,7.19,-2970747.0,-6.69,600108
2023-04-03,16.09,0.81,270468.0,15.4,14535.0,0.83,255933.0,14.57,107361.0,6.11,-377829.0,-21.51,600265
2023-04-03,2.54,0.0,-612693.0,-1.89,4016831.0,12.37,-4629524.0,-14.26,-1670131.0,-5.14,2282824.0,7.03,000592
2023-04-03,9.74,1.46,-24438366.0,-9.71,-658044.0,-0.26,-23780322.0,-9.45,11758753.0,4.67,12679612.0,5.04,000713
2023-04-03,16.15,-1.34,-15975934.0,-5.67,-9099201.0,-3.23,-6876733.0,-2.44,-22977725.0,-8.15,38953660.0,13.81,300087
2023-04-03,7.58,0.8,-6946.0,-0.06,17434.0,0.15,-24380.0,-0.2,-132015.0,-1.11,138961.0,1.17,600883
2023-04-03,18.77,0.37,3161255.0,4.62,-1870043.0,-2.73,5031298.0,7.35,-488613.0,-0.71,-2672641.0,-3.91,002041
2023-04-03,3.98,-0.25,-2692115.0,-5.05,219400.0,0.41,-2911515.0,-5.46,-2124802.0,-3.99,4816917.0,9.04,300189
2023-04-03,12.61,0.8,-2432680.0,-7.16,-1567665.0,-4.61,-865015.0,-2.55,917229.0,2.7,1515450.0,4.46,600371
2023-04-03,4.71,0.64,-22642831.0,-8.7,-18121334.0,-6.97,-4521497.0,-1.74,6320273.0,2.43,16322558.0,6.27,601118
2023-04-03,8.86,3.5,-3649101.0,-2.58,-2738643.0,-1.94,-910458.0,-0.64,1477944.0,1.04,2171157.0,1.53,002772
2023-04-03,4.4,0.92,-1185112.0,-9.6,-157453.0,-1.27,-1027659.0,-8.32,-243792.0,-1.97,1428904.0,11.57,600540
2023-04-03,11.85,0.34,-4354022.0,-7.7,-1614903.0,-2.86,-2739119.0,-4.84,-390503.0,-0.69,4744526.0,8.39,601952
2023-04-03,13.43,0.07,-11610895.0,-5.57,-7252673.0,-3.48,-4358222.0,-2.09,23056806.0,11.06,-11445911.0,-5.49,600598
2023-04-03,6.02,0.84,-1478420.0,-10.67,-1142886.0,-8.25,-335534.0,-2.42,-1395695.0,-10.07,132146.0,0.95,831087
2023-04-03,8.31,1.09,2371980.0,6.28,2190411.0,5.8,181569.0,0.48,-2060439.0,-5.46,-311541.0,-0.82,600359
2023-04-03,9.9,0.1,-43535985.0,-21.02,-30474150.0,-14.72,-13061835.0,-6.31,7989999.0,3.86,35545988.0,17.17,600313
2023-04-03,9.3,0.22,-1871912.0,-2.65,-114672.0,-0.16,-1757240.0,-2.48,-2361269.0,-3.34,4233181.0,5.98,000663
2023-04-03,16.39,-1.15,-112691735.0,-26.23,-87491378.0,-20.36,-25200357.0,-5.87,55534382.0,12.93,57157353.0,13.3,000998
2023-04-03,30.68,3.65,4085061.0,1.38,-8599819.0,-2.91,12684880.0,4.29,8050474.0,2.72,-12135536.0,-4.1,300972
2023-04-03,7.2,6.19,-1216054.0,-0.62,10084161.0,5.18,-11300215.0,-5.81,9184949.0,4.72,-7968894.0,-4.09,300511
2023-04-03,11.89,0.0,-516741.0,-3.22,-331731.0,-2.07,-185010.0,-1.15,-839651.0,-5.23,1356392.0,8.45,002679
2023-04-03,7.11,0.71,-6207929.0,-6.67,-2704751.0,-2.91,-3503178.0,-3.77,-42358.0,-0.05,6250287.0,6.72,600354
2023-04-03,19.7,2.02,4000690.0,5.8,0.0,0.0,4000690.0,5.8,-1603872.0,-2.32,-2396818.0,-3.47,300970
2023-04-03,6.56,7.01,35096408.0,6.39,39396197.0,7.18,-4299789.0,-0.78,-15092397.0,-2.75,-20004010.0,-3.64,600583
2023-04-03,3.78,8.93,8281520.0,3.01,4489318.0,1.63,3792202.0,1.38,5220747.0,1.9,-13502267.0,-4.9,300157
2023-04-03,17.64,3.52,62691184.0,2.99,51223360.0,2.44,11467824.0,0.55,-58125280.0,-2.77,-4565888.0,-0.22,600938
2023-04-03,4.39,3.54,-17123899.0,-8.92,-993468.0,-0.52,-16130431.0,-8.41,9269399.0,4.83,7854500.0,4.09,300164
