日期,板块名称,涨的数量,跌的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停
2023-03-01,IT服务,33,1,97.05882352941177,4.469117647058823,635050751965.9,6350.51,0,0,0,0,1,13,10,8,2
2023-03-01,LED,3,0,100.0,1.78,45087633242.46,450.88,0,0,0,0,1,1,1,0,0
2023-03-01,专业工程,7,1,87.5,2.38375,141288093756.0,1412.88,0,0,0,1,0,6,0,1,0
2023-03-01,专业服务,4,2,66.66666666666666,0.20166666666666663,96574757914.55,965.75,0,0,0,2,1,2,1,0,0
2023-03-01,专业连锁,3,0,100.0,0.845,53759389110.2,537.59,0,0,0,0,1,3,0,0,0
2023-03-01,专用设备,15,16,48.38709677419355,0.4425806451612903,543690303453.53,5436.90,0,0,1,14,1,11,2,2,0
2023-03-01,个护用品,0,0,,0.0,16769820672.44,167.70,0,0,0,0,1,0,0,0,0
2023-03-01,中药,14,6,70.0,-0.01874999999999999,423878716314.27,4238.79,0,0,1,5,5,13,0,0,0
2023-03-01,乘用车,2,0,100.0,1.0699999999999998,48695679162.31,486.96,0,0,0,0,0,2,0,0,0
2023-03-01,乳品,2,1,66.66666666666666,-0.48333333333333334,47691497647.39,476.91,0,0,1,0,1,1,0,0,0
2023-03-01,互联网电商,2,1,66.66666666666666,-0.2666666666666666,71813333731.29001,718.13,0,0,0,1,0,2,0,0,0
2023-03-01,产业地产,3,0,100.0,0.9325,74536279352.52,745.36,0,0,0,0,1,3,0,0,0
2023-03-01,人工景点,1,0,100.0,0.57,41286018891.6,412.86,0,0,0,0,0,1,0,0,0
2023-03-01,仪器仪表,0,4,0.0,-1.435,58262839079.619995,582.63,0,0,0,4,0,0,0,0,0
2023-03-01,休闲食品,7,2,77.77777777777779,0.39222222222222225,166015697518.34,1660.16,0,0,0,2,0,7,0,0,0
2023-03-01,传媒,35,1,97.22222222222221,3.788684210526316,651616734942.94,6516.17,0,0,0,1,2,16,10,7,2
