总市值,流通市值,行业,上市时间,股票代码,股票简称,总股本,流通股
109649146318.0,75687043308.0,煤炭行业,20080201,601898,中煤能源,13258663400.0,9152000400.0
32467500000.0,32467500000.0,煤炭行业,20030821,600348,华阳股份,2405000000.0,2405000000.0
32203846306.5,32203846306.5,煤炭行业,20040428,600985,淮北矿业,2481035925.0,2481035925.0
21112587680.7,4097582653.17,电力行业,19960701,600726,*ST华源,7907336210.0,1534675151.0
15815789452.19,8590767734.01,煤炭行业,19940106,000552,靖远煤电,4611017333.0,2504597007.0
9763138714.42,9763138714.42,煤炭行业,20141105,601015,陕西黑猫,2042497639.0,2042497639.0
1725815680.0,1725757009.0,煤炭行业,19940525,000571,ST大洲,814064000.0,814036325.0
55827794363.44,43956088800.0,煤炭行业,20000726,000983,山西焦煤,5202963128.0,4096560000.0
6113313479.940001,6113313479.940001,农牧饲渔,19970818,600108,亚盛集团,1946915121.0,1946915121.0
2128719999.9999998,2128719999.9999998,农牧饲渔,20000825,600265,ST景谷,129800000.0,129800000.0
5022630319.2,4976235979.0,农牧饲渔,19960327,000592,平潭发展,1931780892.0,1913936915.0
5894543808.0,5894543808.0,农牧饲渔,19970422,000713,丰乐种业,614014980.0,614014980.0
11449180886.04,10814846025.240002,农牧饲渔,20100526,300087,荃银高科,676665537.0,639175297.0
1827321120.0,1827321120.0,水泥建材,19951208,600883,博闻科技,236088000.0,236088000.0
16816800000.0,16816800000.0,农牧饲渔,20050418,002041,登海种业,880000000.0,880000000.0
4075520000.0,3832937698.54,农牧饲渔,20110316,300189,神农科技,1024000000.0,963049673.0
3730369500.0,3730369500.0,农牧饲渔,20020916,600371,万向德农,292578000.0,292578000.0
19257425086.5,19257425086.5,橡胶制品,20110107,601118,海南橡胶,4279427797.0,4279427797.0
3581549921.91,3541248079.5599995,农牧饲渔,20150626,002772,众兴菌业,407457329.0,402872364.0
2563872393.6,2563872393.6,农牧饲渔,20040107,600540,新赛股份,581376960.0,581376960.0
16425760000.0,16425760000.0,农牧饲渔,20170515,601952,苏垦农发,1378000000.0,1378000000.0
25278608305.98,25278608305.98,农牧饲渔,20020329,600598,北大荒,1777679909.0,1777679909.0
1006068000.0,433304109.0,农牧饲渔,20140818,831087,秋乐种业,165200000.0,71150100.0
3155111021.3999996,3155111021.3999996,农牧饲渔,19990429,600359,新农开发,381512820.0,381512820.0
10876096563.150002,10723391305.5,农牧饲渔,20010119,600313,农发种业,1082198663.0,1067004110.0
3262467272.0099998,2968027939.77,装修建材,19961206,000663,永安林业,336683929.0,306298033.0
22111931303.42,21759583398.43,农牧饲渔,20001211,000998,隆平高科,1316970298.0,1295984717.0
4305675000.0,2098588800.0,农牧饲渔,20210419,300972,万辰生物,153500000.0,74816000.0
3440824024.3199997,2766732243.12,农牧饲渔,20160504,300511,雪榕生物,503044448.0,404493018.0
2786635920.0,2786635920.0,农牧饲渔,20120605,002679,福建金森,235756000.0,235756000.0
3763228830.4,3763228830.4,农牧饲渔,20040115,600354,敦煌种业,527802080.0,527802080.0
2407521000.0,1409843802.48,农牧饲渔,20210412,300970,华绿生物,116700000.0,68339496.0
26307061060.0,26307061060.0,采掘行业,20020205,600583,海油工程,4421354800.0,4421354800.0
2556486592.63,2505325861.63,采掘行业,20110107,300157,恒泰艾普,712113257.0,697862357.0
794364958532.7999,29228092673.0,石油行业,20220421,600938,中国海油,47566763984.0,1750185190.0
2517270759.54,2066169723.4199998,采掘行业,20110113,300164,通源石油,590908629.0,485016367.0
3482902750.21,3390715232.71,燃气,20150630,300483,首华燃气,268535293.0,261427543.0
59617056662.12,59617056662.12,石油行业,20000526,600256,广汇能源,6565755139.0,6565755139.0
5833600000.0,4011876100.0,采掘行业,20110316,300191,潜能恒信,320000000.0,220070000.0
32426682394.809998,32426682394.809998,采掘行业,20190626,600968,海油发展,10165104199.0,10165104199.0
