日期,板块名称,涨的数量,跌的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-5<-3%,-1<3%,平盘,1<3%,3-5%,5%-涨停,涨停
2023-03-01,IT服务,120,7,94.48818897637796,4.119685039370079,1235165327823.08,12351.65,0,0,0,6,1,41,45,29,4
2023-03-01,LED,31,7,81.57894736842105,1.099,297741515026.45,2977.42,0,0,0,5,5,28,1,1,0
2023-03-01,专业工程,31,3,91.17647058823529,1.3435294117647059,372546386031.71,3725.46,0,0,0,3,1,28,1,1,0
2023-03-01,专业服务,20,6,76.92307692307693,0.5855555555555555,184835370660.04,1848.35,0,0,0,6,4,14,3,0,0
2023-03-01,专业连锁,6,1,85.71428571428571,0.7924999999999999,64187363801.88,641.87,0,1,0,0,1,5,0,1,0
2023-03-01,专用设备,135,55,71.05263157894737,0.7201015228426396,1494959040525.6199,14949.59,0,0,2,51,10,119,11,3,1
2023-03-01,个护用品,4,8,33.33333333333333,-0.18076923076923074,68664880403.26,686.65,0,0,0,8,1,4,0,0,0
2023-03-01,中药,38,29,56.71641791044776,0.2189333333333333,1105975550072.29,11059.76,0,0,1,28,9,35,1,1,0
2023-03-01,乘用车,8,1,88.88888888888889,1.413333333333333,922531740306.46,9225.32,0,0,0,1,0,7,1,0,0
2023-03-01,乳品,9,9,50.0,0.03833333333333332,309687843163.82,3096.88,0,0,1,7,2,8,0,0,0
2023-03-01,互联网电商,15,2,88.23529411764706,1.191578947368421,142849843386.61002,1428.50,0,0,0,2,2,15,0,0,0
2023-03-01,产业地产,8,0,100.0,0.647,87165138819.69,871.65,0,0,0,0,2,8,0,0,0
2023-03-01,人工景点,2,2,50.0,-0.10199999999999998,55478087046.05,554.78,0,0,0,2,1,2,0,0,0
2023-03-01,仪器仪表,38,11,77.55102040816327,0.8471428571428571,224498706057.31,2244.99,0,0,0,11,1,34,3,0,0
2023-03-01,休闲食品,12,7,63.1578947368421,0.5109523809523809,231651778302.92,2316.52,0,0,0,7,2,11,0,1,0
